production_companies,title,
"[{'name': 'Villealfa Filmproduction Oy', 'id': 2303}, {'name': 'Finnish Film Foundation', 'id': 2396}]",Ariel,
"[{'name': 'Villealfa Filmproduction Oy', 'id': 2303}]",Shadows in Paradise,
"[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}]",Four Rooms,
"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Largo Entertainment', 'id': 1644}, {'name': 'JVC Entertainment Networks', 'id': 4248}]",Judgment Night,
"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",Star Wars,
"[{'name': 'Pixar Animation Studios', 'id': 3}]",Finding Nemo,
"[{'name': 'Paramount Pictures', 'id': 4}]",Forrest Gump,
"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Jinks/Cohen Company', 'id': 2721}]",American Beauty,
"[{'name': 'RKO Radio Pictures', 'id': 6}, {'name': 'Mercury Productions', 'id': 11447}]",Citizen Kane,
"[{'name': 'Fine Line Features', 'id': 8}, {'name': 'Zentropa Entertainments', 'id': 76}, {'name': 'Danmarks Radio (DR)', 'id': 119}, {'name': 'SVT Drama', 'id': 157}, {'name': 'Arte', 'id': 201}, {'name': 'Memfis Film', 'id': 321}, {'name': 'France 3 Cinéma', 'id': 591}, {'name': 'Angel films', 'id': 2996}, {'name': 'TV 1000', 'id': 4524}, {'name': 'Canal+', 'id': 5358}, {'name': 'Constantin Film Produktion', 'id': 5755}, {'name': 'Yleisradio (YLE)', 'id': 5975}, {'name': 'Arte France Cinéma', 'id': 6916}, {'name': 'Westdeutscher Rundfunk (WDR)', 'id': 7025}, {'name': 'Blind Spot Pictures Oy', 'id': 7330}, {'name': 'Vrijzinnig Protestantse Radio Omroep (VPRO)', 'id': 8659}, {'name': 'Film4', 'id': 9349}, {'name': 'Liberator Productions', 'id': 11239}, {'name': 'Icelandic Film', 'id': 14937}, {'name': 'Film i Väst', 'id': 17513}, {'name': 'Pain Unlimited GmbH Filmproduktion', 'id': 30268}, {'name': 'Trust Film Svenska', 'id': 53667}, {'name': 'Cinematograph A/S', 'id': 53668}, {'name': 'What Else? B.V', 'id': 53669}, {'name': 'Filmek A/S', 'id': 53670}, {'name': 'Lantia Cinema & Audiovisivi', 'id': 53671}]",Dancer in the Dark,
"[{'name': 'Constantin Film', 'id': 47}, {'name': 'Impact Pictures', 'id': 248}, {'name': 'Isle of Man Film', 'id': 2268}, {'name': 'UK Film Council', 'id': 2452}]",The Dark,
"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Gaumont', 'id': 9}]",The Fifth Element,
"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Universum Film (UFA)', 'id': 12372}]",Metropolis,
"[{'name': 'El Deseo', 'id': 49}, {'name': 'Milestone Productions', 'id': 77}]",My Life Without Me,
"[{'name': 'Bruce Brown Films', 'id': 13723}]",The Endless Summer,
"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}]",Pirates of the Caribbean: The Curse of the Black Pearl,
"[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}, {'name': 'Super Cool ManChu', 'id': 39121}]",Kill Bill: Vol. 1,
"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Neal Street Productions', 'id': 1522}, {'name': 'Red Wagon Entertainment', 'id': 14440}, {'name': 'Motion Picture KAPPA Produktionsgesellschaft', 'id': 19934}]",Jarhead,
"[{'name': 'Lama Films', 'id': 15}, {'name': 'United King Films', 'id': 16}]",Walk on Water,
"[{'name': 'Revolution Films', 'id': 163}]",9 Songs,
"[{'name': 'United Artists', 'id': 60}, {'name': 'Zoetrope Studios', 'id': 26663}]",Apocalypse Now,
"[{'name': 'Studio 4°C', 'id': 11671}]",Magnetic Rose,
"[{'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]",Unforgiven,
"[{'name': 'Gracie Films', 'id': 18}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",The Simpsons Movie,
"[{'name': 'Anonymous Content', 'id': 10039}, {'name': 'This Is That Productions', 'id': 10059}, {'name': 'Focus Features', 'id': 10146}]",Eternal Sunshine of the Spotless Mind,
"[{'name': 'Altavista Films', 'id': 5084}, {'name': 'Zeta Film', 'id': 11230}]",Amores perros,
"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Second Mate Productions', 'id': 19936}]",Pirates of the Caribbean: Dead Man's Chest,
"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'DC Comics', 'id': 429}, {'name': 'BenderSpink', 'id': 6363}]",A History of Violence,
"[{'name': 'Stanley Kubrick Productions', 'id': 385}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",2001: A Space Odyssey,
"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Classico', 'id': 17031}]",Twelve Monkeys,
"[{'name': 'Vía Digital', 'id': 357}, {'name': 'Good Machine', 'id': 10565}, {'name': 'El Deseo S.A.', 'id': 11736}, {'name': 'Antena 3 Televisión', 'id': 11737}]",Talk to Her,
"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Mikona Productions GmbH & Co. KG', 'id': 24}]",8 Mile,
"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Malpaso Productions', 'id': 171}]",Absolute Power,
"[{'name': 'Lama Films', 'id': 15}, {'name': 'Augustus Film', 'id': 89}, {'name': 'Lama Productions', 'id': 91}, {'name': 'Lumer Films', 'id': 93}, {'name': 'Hazazah Film', 'id': 95}, {'name': 'Filmstiftung Nordrhein-Westfalen', 'id': 315}, {'name': 'Razor Film Produktion GmbH', 'id': 703}, {'name': 'Eurimages', 'id': 850}, {'name': 'Nederlands Fonds voor de Film', 'id': 4508}, {'name': 'Arte France Cinéma', 'id': 6916}, {'name': 'Medienboard Berlin-Brandenburg', 'id': 7307}]",Paradise Now,
"[{'name': 'Embassy International Pictures', 'id': 10214}]",Brazil,
"[{'name': 'Tree Line Films', 'id': 84}, {'name': 'Konrad Pictures', 'id': 85}, {'name': 'Catfish Productions', 'id': 86}, {'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'Mars Media Beteiligungs', 'id': 6402}]",Walk the Line,
"[{'name': 'Lakeshore Entertainment', 'id': 126}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Albert S. Ruddy Productions', 'id': 16311}]",Million Dollar Baby,
"[{'name': 'BBC Films', 'id': 288}, {'name': 'Tiger Aspect Productions', 'id': 686}, {'name': 'StudioCanal', 'id': 694}, {'name': 'Arts Council of England', 'id': 718}, {'name': 'Working Title Films', 'id': 10163}, {'name': 'WT2 Productions', 'id': 10462}]",Billy Elliot,
"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'The Turman-Morrissey Company', 'id': 924}, {'name': 'Savoy Pictures', 'id': 11308}]",American History X,
"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Cruise/Wagner Productions', 'id': 44}, {'name': 'Amblin Entertainment', 'id': 56}]",War of the Worlds,
"[{'name': 'Tim Burton Productions', 'id': 8601}]",Mars Attacks!,
"[{'name': 'Detour Film Production', 'id': 98}, {'name': 'Warner Bros.', 'id': 6194}]",Before Sunrise,
"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Newmarket Capital Group', 'id': 506}, {'name': 'Team Todd', 'id': 598}, {'name': 'I Remember Productions', 'id': 34446}]",Memento,
"[{'name': 'Shaw Brothers', 'id': 5798}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'The Ladd Company', 'id': 7965}]",Blade Runner,
"[{'name': 'Beijing New Picture Film Co. Ltd.', 'id': 724}, {'name': 'China Film Co-Production Corporation', 'id': 2269}]",Hero,
"[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Detour Film Production', 'id': 98}, {'name': 'Warner Independent Pictures (WIP)', 'id': 11509}]",Before Sunset,
"[{'name': 'Topcraft', 'id': 29}]",Nausicaä of the Valley of the Wind,
"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Motion Picture ETA Produktionsgesellschaft', 'id': 52844}, {'name': 'Foqus Arte Digital', 'id': 52845}, {'name': 'Metropolis Films', 'id': 52846}]",Miami Vice,
"[{'name': 'Plunge Pictures LLC', 'id': 22376}]",Open Water,
"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Paramount Pictures', 'id': 4}]",Raiders of the Lost Ark,
"[{'name': 'MOOVIE - the art of entertainment GmbH', 'id': 74}, {'name': 'Medienfonds German Film Productions GmbH & Co. KG', 'id': 75}]",The Elementary Particles,
"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Paramount Pictures', 'id': 4}]",Indiana Jones and the Temple of Doom,
