production_company,title
Villealfa Filmproduction Oy,Ariel
Villealfa Filmproduction Oy,Shadows in Paradise
Miramax Films,Four Rooms
Universal Pictures,Judgment Night
Lucasfilm,Star Wars
Pixar Animation Studios,Finding Nemo
Paramount Pictures,Forrest Gump
DreamWorks SKG,American Beauty
RKO Radio Pictures,Citizen Kane
Fine Line Features,Dancer in the Dark
Constantin Film,The Dark
Columbia Pictures,The Fifth Element
Bandai Visual Company,Metropolis
El Deseo,My Life Without Me
Bruce Brown Films,The Endless Summer
Walt Disney Pictures,Pirates of the Caribbean: The Curse of the Black Pearl
Miramax Films,Kill Bill: Vol. 1
Universal Pictures,Jarhead
Lama Films,Walk on Water
Revolution Films,9 Songs
United Artists,Apocalypse Now
Studio 4°C,Magnetic Rose
Malpaso Productions,Unforgiven
Gracie Films,The Simpsons Movie
Anonymous Content,Eternal Sunshine of the Spotless Mind
Altavista Films,Amores perros
Walt Disney Pictures,Pirates of the Caribbean: Dead Man's Chest
New Line Cinema,A History of Violence
Stanley Kubrick Productions,2001: A Space Odyssey
Universal Pictures,Twelve Monkeys
Vía Digital,Talk to Her
Imagine Entertainment,8 Mile
Columbia Pictures,Absolute Power
Lama Films,Paradise Now
Embassy International Pictures,Brazil
Tree Line Films,Walk the Line
Lakeshore Entertainment,Million Dollar Baby
BBC Films,Billy Elliot
New Line Cinema,American History X
Paramount Pictures,War of the Worlds
Tim Burton Productions,Mars Attacks!
Detour Film Production,Before Sunrise
Summit Entertainment,Memento
Shaw Brothers,Blade Runner
Columbia Pictures,Hero
Castle Rock Entertainment,Before Sunset
Topcraft,Nausicaä of the Valley of the Wind
Universal Pictures,Miami Vice
Plunge Pictures LLC,Open Water
Lucasfilm,Raiders of the Lost Ark
MOOVIE - the art of entertainment GmbH,The Elementary Particles
Lucasfilm,Indiana Jones and the Temple of Doom
Great American Films Limited Partnership,Dirty Dancing
Lucasfilm,Indiana Jones and the Last Crusade
Paramount Pictures,Beverly Hills Cop
Ramón Acín,Land Without Bread
Columbia Pictures,Anatomy of a Murder
Jerry Bruckheimer Films,Armageddon
Paramount Pictures,Beverly Hills Cop II
Walt Disney Pictures,Tron
DreamWorks SKG,Gladiator
Renn Productions,All About My Mother
Handmade Films Ltd.,"Lock, Stock and Two Smoking Barrels"
Columbia Pictures,Leon: The Professional
Zentropa Entertainments,Open Hearts
Columbia Pictures Corporation,Taxi Driver
X-Filme Creative Pool,Run Lola Run
Universal Pictures,Back to the Future
Twentieth Century Fox Film Corporation,Predator
Columbia Pictures Corporation,Snatch
France 3 Cinéma,Three Colors: Blue
Le Studio Canal+,Three Colors: White
Zespół Filmowy TOR,Three Colors: Red
United Artists,Scarface
Zentropa Entertainments,Italian for Beginners
LJ Film,"Spring, Summer, Fall, Winter... and Spring"
Touchstone Pictures,Pretty Woman
Gramercy Pictures,The Big Lebowski
DreamWorks,Match Point
Paramount Pictures,The Untouchables
Village Roadshow Pictures,Charlie and the Chocolate Factory
WingNut Films,The Lord of the Rings: The Fellowship of the Ring
WingNut Films,The Lord of the Rings: The Two Towers
WingNut Films,The Lord of the Rings: The Return of the King
United Artists,The Lord of the Rings
P.P. Film Polski,No End
P.P. Film Polski,Blind Chance
Miramax Films,Princess Mononoke
Studio Ghibli,Spirited Away
The Criterion Collection,The Rolling Stones: Gimme Shelter
Drew Associates,Primary
Universal Pictures,"O Brother, Where Art Thou?"
Docurama,Dont Look Back
Metro-Goldwyn-Mayer (MGM),Freaks
Columbia Pictures,Groundhog Day
American Zoetrope,Dracula
Nimbus Film Productions,Mifune
Televisión Española TVE,Bad Education
Pandora Cinema,Donnie Darko
River Road Entertainment,Brokeback Mountain
Norman Rosemont Productions,All Quiet on the Western Front
Road Movies Filmproduktion GmbH,Wings of Desire
Trust Film,Breaking the Waves
Sony Pictures Classics,"Crouching Tiger, Hidden Dragon"
Les Films du Carrosse,The 400 Blows
Hotshot Films,The Secret Life of Words
Bandai Visual Company,Akira
Paramount Pictures,48 Hrs.
Paramount Pictures,Star Trek: The Motion Picture
American Zoetrope,Lost in Translation
Paramount Pictures,Star Trek II: The Wrath of Khan
DC Comics,The Dark Knight
Les Films du Losange,Wilbur Wants to Kill Himself
Paramount Pictures,Star Trek III: The Search for Spock
Touchstone,Knockin' on Heaven's Door
Constantin Film,Maybe... Maybe Not
Lumière,The Arrival of a Train at La Ciotat
Warner Bros.,Ocean's Eleven
Twentieth Century Fox Film Corporation,Edward Scissorhands
Village Roadshow Pictures,Ocean's Twelve
Paramount Pictures,Breakfast at Tiffany's
Universal Pictures,Back to the Future Part II
The Mirisch Corporation,The Party
Intermedia Films,K-PAX
Paramount Pictures,Star Trek IV: The Voyage Home
Twentieth Century Fox Film Corporation,Predator 2
DNA Films,28 Days Later
Gaumont,The Party 2
Paramount Pictures,Star Trek V: The Final Frontier
Walt Disney Productions,"20,000 Leagues Under the Sea"
Paramount Pictures,Star Trek VI: The Undiscovered Country
Gaumont,The Big Blue
Lions Gate Films,Saw
TriStar Pictures,The Fisher King
Trilogy Entertainment Group,Blown Away
Universal Pictures,The Interpreter
